,,,,,,,,,,,,,,,,,,,,,,,,,
,Option,PP Action,Description,,,,,,,,,,,,,,,,,,,,,,
,X1-3.1,PP21.02,Aligning infrastructure with sustainability by improving the efficiency of existing renewable energy infrastructure,,,,,,,,,,,,,,,,,,,,,,
,X1-3.2,PP01.01,"Increasing the availability of renewable energy through new / upgraded infrastructure, allowing consumers to switch to renewables",,,,,,,,,,,,,,,,,,,,,,
,X1-3.2,PP21.01,"Closing gaps in renewable energy infrastructure, increasing access for underserved individuals",,,,,,,,,,,,,,,,,,,,,,
,X1-3.4,PP01.01,"Increasing the availability of renewable energy through expanded / upgraded technology, allowing consumers to switch to renewables",,,,,,,,,,,,,,,,,,,,,,
,X1-3.5,PP24.03,Embedding sustainability in society by introducing new technologies which encourage the adoption of renewable energy use,,,,,,,,,,,,,,,,,,,,,,
,X1-3.5,PP01.01,Increasing the availability of renewable energy by introducing new technologies,,,,,,,,,,,,,,,,,,,,,,
,X1-4,PP23.01,Aligning economic incentives with sustainability by removing or reducing fossil fuel subsidies,,,,,,,,,,,,,,,,,,,,,,
,X2-1,PP03.02,Helping individuals or organisations use water more efficiently,,,,,,,,,,,,,,,,,,,,,,
,X2-1.1,PP03.02,Helping individuals or organisations use water more efficiently through local water management,,,,,,,,,,,,,,,,,,,,,,
,X2-2,PP03.01,Increasing the availability of clean water without contributing to water stress,,,,,,,,,,,,,,,,,,,,,,
,X2-2.1,PP03.01,Increasing the availability of clean water through more sustainable withdrawals,,,,,,,,,,,,,,,,,,,,,,
,X2-2.2,PP03.01,Increasing the availability of clean water through improved water quality,,,,,,,,,,,,,,,,,,,,,,
,X2-3.1,PP04.01,Increasing access to clean water for sanitation and hygiene to underserved individuals,,,,,,,,,,,,,,,,,,,,,,
,X2-3.1,PP16.05,Keeping people healthy and safe by providing them with access to water for sanitation and hygiene,,,,,,,,,,,,,,,,,,,,,,
,X2-3.2,PP04.01,Increasing access to clean drinking water to underserved individuals,,,,,,,,,,,,,,,,,,,,,,
,X2-3.2,PP16.05,Keeping people healthy and safe by providing them with access to drinking water,,,,,,,,,,,,,,,,,,,,,,
,X3-1,PP05.01,Increasing the availability of sustainably-managed natural resources,,,,,,,,,,,,,,,,,,,,,,
,X3-1.1,PP05.01,Increasing the availability of responsibly produced food,,,,,,,,,,,,,,,,,,,,,,
,X3-2,PP05.02,Helping individuals or organisations manage natural resources more sustainably,,,,,,,,,,,,,,,,,,,,,,
,X3-2.1,PP05.02,Helping individuals or organisations manage natural resources more sustainably via sustainable agriculture,,,,,,,,,,,,,,,,,,,,,,
,X3-2.2,PP05.02,Helping individuals or organisations manage marine resources more sustainably,,,,,,,,,,,,,,,,,,,,,,
,X3-2.3,PP05.02,Helping individuals or organisations manage freshwater resources more sustainably,,,,,,,,,,,,,,,,,,,,,,
,X3-2.4,PP05.02,Helping individuals or organisations manage forests more sustainably,,,,,,,,,,,,,,,,,,,,,,
,X3-2.5,PP05.02,Helping individuals or organisations manage mountain resources more sustainably,,,,,,,,,,,,,,,,,,,,,,
,X3-2.6,PP05.02,Helping individuals or organisations manage natural resources by preventing the introduction of invasive species,,,,,,,,,,,,,,,,,,,,,,
,X3-2.7,PP24.03,Embedding sustainability in society by helping people manage natural resources more sustainably by introducing new technologies,,,,,,,,,,,,,,,,,,,,,,
,X3-2.7,PP05.02,Helping individuals or organisations manage marine resources more sustainably by introducing new technologies,,,,,,,,,,,,,,,,,,,,,,
,X3-3,PP05.04,Increasing the efficiency of natural resource use for individuals or organisations,,,,,,,,,,,,,,,,,,,,,,
,X3-3.1,PP05.04,Increasing the efficiency of marine resource use for individuals or organisations,,,,,,,,,,,,,,,,,,,,,,
,X3-3.2,PP24.03,Embedding sustainability in society by introducing new technologies that make sustainable consumption easier,,,,,,,,,,,,,,,,,,,,,,
,X3-3.2,PP05.04,Increasing the efficiency of natural resource use for individuals or organisations by introducing new technologies,,,,,,,,,,,,,,,,,,,,,,
,X3-4,PP05.03,Helping individuals or organisations reduce their use of endangered / threatened plants and animals,,,,,,,,,,,,,,,,,,,,,,
,X3-4.1,PP05.03,Helping individuals or organisations reduce their use of endangered / threatened plants and animals through new job opportunities,,,,,,,,,,,,,,,,,,,,,,
,X3-5.1,PP14.02,Protecting areas of social or cultural value by establishing people's traditional land rights,,,,,,,,,,,,,,,,,,,,,,
,X3-5.1,PP18.07,Increasing economic opportunity by establishing people's traditional or customary land rights,,,,,,,,,,,,,,,,,,,,,,
,X3-5.2,PP15.02,Restoring areas of social or cultural value by returning land rights to traditional rights holders,,,,,,,,,,,,,,,,,,,,,,
,X3-5.2,PP18.07,Increasing economic opportunity for underserved people through returning land rights to traditional rights holders,,,,,,,,,,,,,,,,,,,,,,
,X3-5.3,PP18.07,Increasing economic opportunity for underserved people through establishing land rights for local food producers,,,,,,,,,,,,,,,,,,,,,,
,X3-5.4,PP18.07,Increasing economic opportunity by establishing community rights to local organisms with potential genetic value,,,,,,,,,,,,,,,,,,,,,,
,X3-5.4,PP14.02,Protecting areas of social or cultural value by establishing community rights to the genetic value of local organisms,,,,,,,,,,,,,,,,,,,,,,
,X3-5.5,PP18.07,Increasing economic opportunity by returning community rights to local organisms with potential genetic value,,,,,,,,,,,,,,,,,,,,,,
,X3-5.5,PP15.02,Restoring areas of social or cultural value by returning community rights to local organisms with potential genetic value,,,,,,,,,,,,,,,,,,,,,,
,X4-1.1.1,PP06.01,"Improving the processes used by individuals and organisations, reducing related future GHG emissions",,,,,,,,,,,,,,,,,,,,,,
,X4-1.1.1,PP12.02,"Improving the processes used by individuals and organisations, reducing related future ecosystem degradation via GHGs",,,,,,,,,,,,,,,,,,,,,,
,X4-1.1.2,PP06.02,"Improving the processes used by individuals and organisations, eliminating related future GHG emissions",,,,,,,,,,,,,,,,,,,,,,
,X4-1.1.2,PP12.02,"Improving the processes used by individuals and organisations, eliminating related future ecosystem degradation via GHGs",,,,,,,,,,,,,,,,,,,,,,
,X4-1.1.3,PP06.03,"Capturing GHGs before individuals or organisations emit them to the atmosphere and storing them, reducing overall GHG emissions",,,,,,,,,,,,,,,,,,,,,,
,X4-1.1.3,PP12.02,"Capturing GHGs before individuals or organisations emit them to the atmosphere and storing them, reducing related ecosystem degradation",,,,,,,,,,,,,,,,,,,,,,
,X4-1.2.1,PP07.01,Removing GHGs from the atmosphere by creating new carbon sinks,,,,,,,,,,,,,,,,,,,,,,
,X4-1.2.1,PP12.01,Reducing the amount of ecosystem degradation caused by individuals or organisations by creating new carbon sinks,,,,,,,,,,,,,,,,,,,,,,
,X4-1.2.2,PP07.02,Removing GHGs from the atmosphere by expanding existing carbon sinks,,,,,,,,,,,,,,,,,,,,,,
,X4-1.2.2,PP12.01,Reducing the amount of ecosystem degradation caused by individuals or organisations by expanding existing carbon sinks,,,,,,,,,,,,,,,,,,,,,,
,X4-1.2.3,PP07.03,Removing GHGs from the atmosphere by using technology to capture and store emissions,,,,,,,,,,,,,,,,,,,,,,
,X4-1.2.3,PP12.01,Reducing the amount of ecosystem degradation caused by using technology to capture and store emissions,,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.1,PP08.01,"Improving the processes used by individuals and organisations, reducing related pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.1.1,PP08.01,"Improving the processes used by individuals and organisations, reducing related marine pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.1.2,PP08.01,"Improving the processes used by individuals and organisations, reducing related freshwater pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.1.3,PP08.01,"Improving the processes used by individuals and organisations, reducing related pollution of soil or land",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.1.4,PP08.01,"Improving the processes used by individuals and organisations, reducing deaths and illnesses from related pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.1.4,PP16.01,Keeping people healthy and safe by enabling individuals or organisations to avoid harmful pollution,,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.2,PP08.02,"Improving the processes used by individuals and organisations, eliminating related pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.2.1,PP08.02,"Improving the processes used by individuals and organisations, eliminating related marine pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.2.2,PP08.02,"Improving the processes used by individuals and organisations, eliminating related freshwater pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.2.3,PP08.02,"Improving the processes used by individuals and organisations, eliminating related pollution of soil or land",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.2.4,PP08.02,"Improving the processes used by individuals and organisations, eliminating deaths and illnesses from related pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.2.4,PP16.01,Keeping people healthy and safe by enabling individuals or organisations to avoid harmful pollution,,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.3,PP08.03,"Capturing pollution before individuals or organisations emit it and storing it safely, reducing overall emission of pollutants",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.3.1,PP08.03,"Capturing pollution before individuals or organisations emit it and storing it safely, reducing ocean pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.3.2,PP08.03,"Capturing pollution before individuals or organisations emit it and storing it safely, reducing freshwater pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.3.3,PP08.03,"Capturing pollution before individuals or organisations emit it and storing it safely, reducing pollution of soil or land",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.3.4,PP08.03,"Capturing pollution before individuals or organisations emit it, reducing deaths and illnesses from related pollution",,,,,,,,,,,,,,,,,,,,,,
,X4-2.1.3.4,PP16.01,Keeping people healthy and safe by enabling individuals or organisations to avoid harmful pollution,,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.1.1,PP09.01,"Removing atmospheric pollution from the environment, improving air quality",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.1.2,PP09.02,"Removing atmospheric pollution from the environment, improving ecosystem health",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.1.3,PP09.02,"Removing atmospheric pollution from the environment, reducing related deaths and illnesses",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.1.3,PP16.01,Keeping people healthy and safe by removing atmospheric pollution from the environment,,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.2.1,PP09.01,"Removing marine pollution from the environment, improving water quality",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.2.2,PP09.02,"Removing marine pollution from the environment, improving the health of ocean ecosystems",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.2.3,PP09.02,"Removing marine pollution from the environment, reducing related deaths and illnesses",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.2.3,PP16.01,Keeping people healthy and safe by removing marine pollution from the environment,,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.3.1,PP09.01,"Removing freshwater pollution from the environment, improving water quality",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.3.2,PP09.02,"Removing freshwater pollution from the environment, improving the health of freshwater ecosystems",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.3.3,PP09.02,"Removing freshwater pollution from the environment, reducing related deaths and illnesses",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.3.3,PP16.01,Keeping people healthy and safe by removing freshwater pollution from the environment,,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.4.1,PP09.01,"Removing soil or land pollution from the environment, improving soil quality",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.4.2,PP09.02,"Removing soil or land pollution from the environment, improving the health of land-based ecosystems",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.4.3,PP09.02,"Removing soil or land pollution from the environment, reducing related deaths and illnesses",,,,,,,,,,,,,,,,,,,,,,
,X4-2.2.4.3,PP16.01,Keeping people healthy and safe by removing soil or land pollution from the environment,,,,,,,,,,,,,,,,,,,,,,
,X5-1.1,PP10.01,Helping individuals or organisations reduce the amount of waste they create,,,,,,,,,,,,,,,,,,,,,,
,X5-1.1.1,PP10.01,Helping individuals or organisations reduce the amount of food waste they create,,,,,,,,,,,,,,,,,,,,,,
,X5-1.1.2,PP10.01,Helping individuals or organisations reduce the amount of marine waste or pollution they create,,,,,,,,,,,,,,,,,,,,,,
,X5-1.2,PP10.02,Helping individuals or organisations to repurpose the waste they create,,,,,,,,,,,,,,,,,,,,,,
,X5-1.2.1,PP10.02,Helping individuals or organisations to repurpose the food waste they create,,,,,,,,,,,,,,,,,,,,,,
,X5-1.2.2,PP10.02,Helping individuals or organisations to repurpose the marine waste or pollution they create,,,,,,,,,,,,,,,,,,,,,,
,X5-2,PP11.01,Removing existing waste from the environment and repurposing it,,,,,,,,,,,,,,,,,,,,,,
,X5-2.1,PP11.01,Removing existing marine waste from the environment and repurposing it,,,,,,,,,,,,,,,,,,,,,,
,X6-1.1.1,PP12.01,Protecting forest ecosystems from harm caused by human intrusions,,,,,,,,,,,,,,,,,,,,,,
,X6-1.1.1.1,PP12.01,Protecting forest ecosystems by helping individuals or organisations implement sustainable agriculture,,,,,,,,,,,,,,,,,,,,,,
,X6-1.1.1.2,PP12.01,Protecting forest ecosystems by helping individuals or organisations prevent the introduction of invasive species,,,,,,,,,,,,,,,,,,,,,,
,X6-1.1.2,PP12.01,Protecting mountain ecosystems from harm caused by human intrusions,,,,,,,,,,,,,,,,,,,,,,
,X6-1.1.2.1,PP12.01,Protecting mountain ecosystems by helping individuals or organisations implement sustainable agriculture,,,,,,,,,,,,,,,,,,,,,,
,X6-1.1.2.2,PP12.01,Protecting mountain ecosystems by helping individuals or organisations prevent the introduction of invasive species,,,,,,,,,,,,,,,,,,,,,,
,X6-1.1.3,PP12.01,Protecting land-based ecosystems from harm caused by human intrusions,,,,,,,,,,,,,,,,,,,,,,
,X6-1.1.3.1,PP12.01,Protecting land-based ecosystems by helping individuals or organisations implement sustainable agriculture,,,,,,,,,,,,,,,,,,,,,,
,X6-1.1.3.2,PP12.01,Protecting land-based ecosystems by helping individuals or organisations prevent the introduction of invasive species,,,,,,,,,,,,,,,,,,,,,,
,X6-1.2,PP12.01,Protecting freshwater ecosystems from harm caused by human intrusions,,,,,,,,,,,,,,,,,,,,,,
,X6-1.2.1,PP12.01,Protecting freshwater ecosystems by reducing chemical run-off from fertilisers or agricultural inputs,,,,,,,,,,,,,,,,,,,,,,
,X6-1.2.2,PP12.01,Protecting freshwater ecosystems by helping individuals or organisations prevent the introduction of invasive species,,,,,,,,,,,,,,,,,,,,,,
,X6-1.3,PP12.01,Protecting marine and coastal ecosystems from harm caused by human intrusions,,,,,,,,,,,,,,,,,,,,,,
,X6-1.3,PP22.04,Improving institutional governance to support the health of marine and coastal ecosystems,,,,,,,,,,,,,,,,,,,,,,
,X6-1.3.1,PP12.01,Protecting marine ecosystems by reducing agricultural run-offs,,,,,,,,,,,,,,,,,,,,,,
,X6-1.3.2,PP12.01,Protecting marine ecosystems by helping individuals or organisations prevent the introduction of invasive species,,,,,,,,,,,,,,,,,,,,,,
,X6-1.3.3,PP12.01,Protecting marine ecosystems by helping individuals or organisations prevent ocean acidification,,,,,,,,,,,,,,,,,,,,,,
,X6-2.1.1,PP12.02,Protecting forest ecosystems by enabling individuals or organisations to change their activities,,,,,,,,,,,,,,,,,,,,,,
,X6-2.1.1.1,PP12.02,Protecting forest ecosystems by enabling individuals or organisations to switch to sustainable agriculture,,,,,,,,,,,,,,,,,,,,,,
,X6-2.1.1.2,PP12.02,Protecting forest ecosystems by enabling individuals or organisations to change processes and avoid introducing invasive species,,,,,,,,,,,,,,,,,,,,,,
,X6-2.1.2,PP12.02,Protecting mountain ecosystems by enabling individuals or organisations to change their activities,,,,,,,,,,,,,,,,,,,,,,
,X6-2.1.2.1,PP12.02,Protecting mountain ecosystems by enabling individuals or organisations to switch to sustainable agriculture,,,,,,,,,,,,,,,,,,,,,,
,X6-2.1.2.2,PP12.02,Protecting mountain ecosystems by enabling individuals or organisations to change processes and avoid introducing invasive species,,,,,,,,,,,,,,,,,,,,,,
,X6-2.1.3,PP12.02,Protecting land-based ecosystems by enabling individuals or organisations to change their activities,,,,,,,,,,,,,,,,,,,,,,
,X6-2.1.3.1,PP12.02,Protecting land-based ecosystems by enabling individuals or organisations to switch to sustainable agriculture,,,,,,,,,,,,,,,,,,,,,,
,X6-2.1.3.2,PP12.02,Protecting land-based ecosystems by helping individuals or organisations change their processes to avoid introducing invasive species,,,,,,,,,,,,,,,,,,,,,,
,X6-2.2,PP12.02,Protecting freshwater ecosystems by enabling individuals or organisations to change their activities,,,,,,,,,,,,,,,,,,,,,,
,X6-2.2.1,PP12.02,"Protecting freshwater ecosystems by enabling individuals or organisations to switch processes, reducing agricultural run-offs",,,,,,,,,,,,,,,,,,,,,,
,X6-2.2.2,PP12.02,Protecting freshwater ecosystems by enabling individuals or organisations to change processes and avoid introducing invasive species,,,,,,,,,,,,,,,,,,,,,,
,X6-2.3,PP12.02,Protecting marine and coastal ecosystems by enabling individuals or organisations to change their activities,,,,,,,,,,,,,,,,,,,,,,
,X6-2.3,PP22.04,Improving institutional governance to support the health of marine and coastal ecosystems,,,,,,,,,,,,,,,,,,,,,,
,X6-2.3.1,PP12.02,"Protecting marine and coastal ecosystems by enabling individuals or organisations to switch processes, reducing agricultural run-offs",,,,,,,,,,,,,,,,,,,,,,
,X6-2.3.2,PP12.02,Protecting marine & coastal ecosystems by enabling individuals or organisations to change processes to avoid introducing invasive species,,,,,,,,,,,,,,,,,,,,,,
,X6-2.3.3,PP12.02,"Protecting marine & coastal ecosystems by enabling individuals or organisations to change processes, preventing ocean acidification",,,,,,,,,,,,,,,,,,,,,,
,X6-3.1.1,PP13.02,Allowing forest ecosystems to regenerate naturally,,,,,,,,,,,,,,,,,,,,,,
,X6-3.1.2,PP13.02,Allowing mountain ecosystems to regenerate naturally,,,,,,,,,,,,,,,,,,,,,,
,X6-3.1.3,PP13.02,Allowing land-based ecosystems to regenerate naturally,,,,,,,,,,,,,,,,,,,,,,
,X6-3.2,PP13.02,Allowing freshwater ecosystems to regenerate naturally,,,,,,,,,,,,,,,,,,,,,,
,X6-3.3,PP13.02,Allowing marine and coastal ecosystems to regenerate naturally,,,,,,,,,,,,,,,,,,,,,,
,X6-3.3,PP22.04,Improving institutional governance to support the health of marine and coastal ecosystems,,,,,,,,,,,,,,,,,,,,,,
,X6-4.1.1,PP13.01,Actively restoring forest ecosystems,,,,,,,,,,,,,,,,,,,,,,
,X6-4.1.1.1,PP13.01,Actively restoring forest ecosystems by implementing regenerative agricultural practices,,,,,,,,,,,,,,,,,,,,,,
,X6-4.1.2,PP13.01,Actively restoring mountain ecosystems,,,,,,,,,,,,,,,,,,,,,,
,X6-4.1.2.1,PP13.01,Actively restoring mountain ecosystems by implementing regenerative agricultural practices,,,,,,,,,,,,,,,,,,,,,,
,X6-4.1.3,PP13.01,Actively restoring land-based ecosystems,,,,,,,,,,,,,,,,,,,,,,
,X6-4.1.3.1,PP13.01,Actively restoring land-based ecosystems by implementing regenerative agricultural practices,,,,,,,,,,,,,,,,,,,,,,
,X6-4.2,PP13.01,Actively restoring freshwater ecosystems,,,,,,,,,,,,,,,,,,,,,,
,X6-4.3,PP13.01,Actively restoring marine and coastal ecosystems,,,,,,,,,,,,,,,,,,,,,,
,X6-4.3,PP22.04,Improving institutional governance to support the health of marine and coastal ecosystems,,,,,,,,,,,,,,,,,,,,,,
,X6-5.1,PP14.01,Protecting areas of social or cultural value,,,,,,,,,,,,,,,,,,,,,,
,X6-5.2,PP15.01,Restoring areas of social or cultural value by reconstructing or rebuilding them,,,,,,,,,,,,,,,,,,,,,,
,X7-1.1,PP21.04,Aligning infrastructure with sustainability by improving or creating buildings to be sustainable and resilient,,,,,,,,,,,,,,,,,,,,,,
,X7-1.2,PP16.06,Keeping people healthy and safe by increasing their access to adequate housing,,,,,,,,,,,,,,,,,,,,,,
,X7-1.3,PP17.06,"Empowering people through the creation or improvement of accessible, sustainable transport",,,,,,,,,,,,,,,,,,,,,,
,X7-1.3.1,PP21.04,"Empowering people through the improvement of accessible, sustainable transport between rural and urban areas",,,,,,,,,,,,,,,,,,,,,,
,X7-1.4,PP20.10,Strengthening communities through the creation or improvement of green and public spaces,,,,,,,,,,,,,,,,,,,,,,
,X7-1.5,PP21.02,Aligning infrastructure with sustainability through the improvement of rural infrastructure,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1,PP20.07,Strengthening communities by increasing access to education for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1,PP17.01,Empowering people through access to education,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.1,PP20.07,Strengthening communities by increasing access to pre-primary education for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.1,PP17.01,Empowering people through access to pre-primary education,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.2,PP20.07,Strengthening communities by increasing access to primary or secondary education for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.2,PP17.01,Empowering people through access to primary and secondary education,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.3,PP20.07,Strengthening communities by increasing access to tertiary education for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.3,PP17.01,Empowering people through access to tertiary education,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.3.1,PP20.07,Strengthening communities by increasing access to academic scholarships for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.3.1,PP17.01,Empowering people through access to tertiary education through academic scholarships,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.4,PP20.07,Strengthening communities by increasing adult literacy and numeracy for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.4,PP17.01,Empowering people through access to literacy and numeracy education,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.5,PP20.07,Strengthening communities by increasing access to sexual and reproductive health education for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.5,PP17.01,Empowering people through access to sexual and reproductive health education,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.6,PP20.07,Strengthening communities by increasing access to climate change education for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.6,PP17.01,Empowering people through access to climate change education,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.7,PP20.07,Strengthening communities by increasing access to sustainable lifestyle education for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.7,PP17.01,Empowering people through access to education on living a sustainable lifestyle,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.8,PP20.07,"Strengthening communities by building or upgrading education facilities, increasing access for underserved groups",,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.8,PP17.01,Empowering people through access to education by building or upgrading education facilities,,,,,,,,,,,,,,,,,,,,,,
,X7-2.1.8,PP21.01,Aligning infrastructure with sustainability through the building or upgrade of education facilities,,,,,,,,,,,,,,,,,,,,,,
,X7-2.2,PP17.01,Empowering people through access to vocational training,,,,,,,,,,,,,,,,,,,,,,
,X7-2.2,PP20.07,Strengthening communities by increasing access to vocational training for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.2.1,PP20.07,Strengthening communities by increasing access to healthcare workforce training for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.2.1,PP17.01,Empowering people through access to training needed to work in healthcare,,,,,,,,,,,,,,,,,,,,,,
,X7-2.2.2,PP20.07,Strengthening communities by increasing access to teacher training for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.2.2,PP17.01,Empowering people through access to training needed to teach,,,,,,,,,,,,,,,,,,,,,,
,X7-2.2.3,PP20.07,Strengthening communities by providing vocational training scholarships for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.2.3,PP17.01,Empowering people through access to vocational training through scholarships,,,,,,,,,,,,,,,,,,,,,,
,X7-2.2.4,PP20.07,Strengthening communities by increasing access to training in sustainable agriculture techniques for underserved groups,,,,,,,,,,,,,,,,,,,,,,
,X7-2.2.4,PP17.01,Empowering people through access to training in sustainable agriculture techniques,,,,,,,,,,,,,,,,,,,,,,
,X7-2.3,PP17.02,Empowering people through access to resources that enable informed decisions,,,,,,,,,,,,,,,,,,,,,,
,X7-2.3.1,PP17.02,Empowering people through access to information on sexual and reproductive health,,,,,,,,,,,,,,,,,,,,,,
,X7-2.3.2,PP17.02,Empowering people through access to information on leading a sustainable lifestyle,,,,,,,,,,,,,,,,,,,,,,
,X7-2.3.3,PP17.02,Empowering people through access to information on increasing agricultural productivity,,,,,,,,,,,,,,,,,,,,,,
,X7-2.3.3.1,PP17.02,Empowering people through access to information on climate-resilient agriculture,,,,,,,,,,,,,,,,,,,,,,
,X7-2.4,PP17.04,Empowering people through access to technology that increases productivity,,,,,,,,,,,,,,,,,,,,,,
,X7-2.4.1,PP17.04,Empowering people through access to technology that increases agricultural productivity,,,,,,,,,,,,,,,,,,,,,,
,X7-2.5,PP17.03,Empowering people through access to information and communication technology,,,,,,,,,,,,,,,,,,,,,,
,X7-2.6,PP24.03,Embedding sustainability in society by introducing new and disruptive technologies,,,,,,,,,,,,,,,,,,,,,,
,X7-2.6.1,PP24.03,Embedding sustainability in society by introducing new technologies which encourage sustainable consumption and production,,,,,,,,,,,,,,,,,,,,,,
,X7-3,PP19.03,Upholding people's freedom from discrimination and promoting equality,,,,,,,,,,,,,,,,,,,,,,
